user,type,startDate,endDate,value,unit,sourceName,device,metadata
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-01T00:00:00,2024-01-02T00:00:00,13242,min,,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-02T00:00:00,2024-01-03T00:00:00,48.3,count,Health,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-03T00:00:00,2024-01-04T00:00:00,10489,min,iPhone,Apple Watch Ultra,{workout:run}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-01-04T00:00:00,2024-01-05T00:00:00,11030,bpm,Health,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-05 00:00:00 ,2024-01-06T00:00:00,2243.6,count,Apple Watch,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-06T00:00:00,2024-01-07T00:00:00,2090.1,bpm,,Apple Watch Series 8,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-01-07T00:00:00,2024-01-08T00:00:00,8823,count,iPhone,Apple Watch Ultra,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-01-08 00:00:00 ,2024-01-09T00:00:00,2224.1,,iPhone,Apple Watch Series 8,{workout:run}
U_OM5IGQPKI7P5,HKCategoryTypeIdentifierSleepAnalysis,2024-01-09T00:00:00,2024-01-10T00:00:00,2303.7,kcal,Health,,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierStepCount,2024-01-10T00:00:00,2024-01-11T00:00:00,6578,Cal,Health,Apple Watch Ultra,"{alg:v2,confidence:0.8}"
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-01-11 00:00:00 ,2024-01-12T00:00:00,,bpm,iPhone,Apple Watch Series 8,{tz:America/Los_Angeles}
U_OM5IGQPKI7P5,HKQuantityTypeIdentifierRestingHeartRate,2024-01-12T00:00:00,2024-01-13T00:00:00,10177,min,Apple Watch,,{workout:run}
