user_id,date,apple_steps,apple_active_energy,apple_resting_hr,apple_sleep_minutes
U_OM5IGQPKI7P5,2024-04-11,,,,
U_OM5IGQPKI7P5,2024-05-22,,,,
U_OM5IGQPKI7P5,2024-06-16,,,,
U_OM5IGQPKI7P5,2024-10-29,,,,
U_OM5IGQPKI7P5,2024-11-02,,,,
U_OM5IGQPKI7P5,2024-11-10,,,,
U_OM5IGQPKI7P5,2024-11-29,,,,
U_OM5IGQPKI7P5,2024-11-30,,,,
U_YIHAIR4COWGZ,2024-01-25,,,,
U_YIHAIR4COWGZ,2024-03-24,,,,
U_YIHAIR4COWGZ,2024-05-03,,,,
U_YIHAIR4COWGZ,2024-07-05,,,,
U_YIHAIR4COWGZ,2024-07-10,,,,
U_YIHAIR4COWGZ,2024-07-17,,,,
U_YIHAIR4COWGZ,2024-07-25,,,,
U_YIHAIR4COWGZ,2024-07-30,,,,
U_YIHAIR4COWGZ,2024-08-20,,,,
U_YIHAIR4COWGZ,2024-09-09,,,,
U_YIHAIR4COWGZ,2024-09-13,,,,
U_YIHAIR4COWGZ,2024-09-28,,,,
U_YIHAIR4COWGZ,2024-11-14,,,,
U_YIHAIR4COWGZ,2024-12-09,,,,
U_RIPZIM6CFNFH,2024-01-07,,,,
U_RIPZIM6CFNFH,2024-02-20,,,,
U_RIPZIM6CFNFH,2024-03-18,,,,
U_RIPZIM6CFNFH,2024-04-19,,,,
U_RIPZIM6CFNFH,2024-05-10,,,,
U_RIPZIM6CFNFH,2024-07-02,,,,
U_RIPZIM6CFNFH,2024-10-19,,,,
U_RIPZIM6CFNFH,2024-12-02,,,,
U_UAXEQBNHL1N1,2024-01-13,,,,
U_UAXEQBNHL1N1,2024-01-19,,,,
U_UAXEQBNHL1N1,2024-02-28,,,,
U_UAXEQBNHL1N1,2024-07-29,,,,
U_UAXEQBNHL1N1,2024-10-03,,,,
U_TZE5R5UQPGB7,2024-03-17,,,,
U_TZE5R5UQPGB7,2024-09-08,,,,
U_KIZZQY72WX7P,2024-04-23,,,,
U_KIZZQY72WX7P,2024-05-03,,,,
U_KIZZQY72WX7P,2024-06-24,,,,
U_KIZZQY72WX7P,2024-07-17,,,,
U_KIZZQY72WX7P,2024-09-28,,,,
U_KIZZQY72WX7P,2024-12-08,,,,
U_E8LD4D6AF58C,2024-03-08,,,,
U_E8LD4D6AF58C,2024-04-10,,,,
U_E8LD4D6AF58C,2024-05-16,,,,
U_E8LD4D6AF58C,2024-07-14,,,,
U_E8LD4D6AF58C,2024-07-21,,,,
U_E8LD4D6AF58C,2024-07-23,,,,
U_E8LD4D6AF58C,2024-10-11,,,,
U_E8LD4D6AF58C,2024-11-30,,,,
U_IA5U6HC36KOF,2024-01-31,,,,
U_IA5U6HC36KOF,2024-04-20,,,,
U_IA5U6HC36KOF,2024-06-02,,,,
U_IA5U6HC36KOF,2024-06-12,,,,
U_IA5U6HC36KOF,2024-07-25,,,,
U_IA5U6HC36KOF,2024-08-08,,,,
U_IA5U6HC36KOF,2024-08-13,,,,
U_IA5U6HC36KOF,2024-09-09,,,,
U_IA5U6HC36KOF,2024-09-13,,,,
U_IA5U6HC36KOF,2024-10-28,,,,
U_IA5U6HC36KOF,2024-11-14,,,,
U_IA5U6HC36KOF,2024-11-15,,,,
U_IA5U6HC36KOF,2024-12-06,,,,
U_IA5U6HC36KOF,2024-12-27,,,,
U_FM8ZOV7LN23Y,2024-04-24,,,,
U_FM8ZOV7LN23Y,2024-05-18,,,,
U_FM8ZOV7LN23Y,2024-05-19,,,,
U_FM8ZOV7LN23Y,2024-07-07,,,,
U_FM8ZOV7LN23Y,2024-08-11,,,,
U_FM8ZOV7LN23Y,2024-08-18,,,,
U_FM8ZOV7LN23Y,2024-09-03,,,,
U_FM8ZOV7LN23Y,2024-11-17,,,,
U_FM8ZOV7LN23Y,2024-11-25,,,,
U_FM8ZOV7LN23Y,2024-12-28,,,,
U_0QTL3Q4N89QK,2024-01-29,,,,
U_0QTL3Q4N89QK,2024-04-01,,,,
U_0QTL3Q4N89QK,2024-04-24,,,,
U_0QTL3Q4N89QK,2024-05-26,,,,
U_0QTL3Q4N89QK,2024-06-11,,,,
U_0QTL3Q4N89QK,2024-08-19,,,,
U_0QTL3Q4N89QK,2024-11-17,,,,
U_0QTL3Q4N89QK,2024-11-25,,,,
U_0QTL3Q4N89QK,2024-12-14,,,,
U_0QTL3Q4N89QK,2024-12-28,,,,
U_2M0W10LBT3G2,2024-03-23,,,,
U_2M0W10LBT3G2,2024-07-14,,,,
U_2M0W10LBT3G2,2024-07-23,,,,
U_2M0W10LBT3G2,2024-08-06,,,,
U_2M0W10LBT3G2,2024-10-02,,,,
U_2M0W10LBT3G2,2024-10-09,,,,
U_0CV3TLCXLVPY,2024-02-17,,,,
U_0CV3TLCXLVPY,2024-04-29,,,,
U_0CV3TLCXLVPY,2024-07-12,,,,
U_0CV3TLCXLVPY,2024-08-05,,,,
U_0CV3TLCXLVPY,2024-08-10,,,,
U_0CV3TLCXLVPY,2024-08-25,,,,
U_0CV3TLCXLVPY,2024-09-21,,,,
U_0CV3TLCXLVPY,2024-11-09,,,,
U_0CV3TLCXLVPY,2024-12-14,,,,
U_OUELCQSE3TV1,2024-04-01,,,,
U_OUELCQSE3TV1,2024-04-09,,,,
U_OUELCQSE3TV1,2024-04-24,,,,
U_OUELCQSE3TV1,2024-05-26,,,,
U_OUELCQSE3TV1,2024-06-08,,,,
U_OUELCQSE3TV1,2024-07-07,,,,
U_OUELCQSE3TV1,2024-11-23,,,,
U_OUELCQSE3TV1,2024-12-07,,,,
U_OUELCQSE3TV1,2024-12-10,,,,
U_OUELCQSE3TV1,2024-12-14,,,,
U_8HMBR5XQT4P5,2024-01-12,,,,
U_8HMBR5XQT4P5,2024-03-01,,,,
U_8HMBR5XQT4P5,2024-03-09,,,,
U_8HMBR5XQT4P5,2024-03-20,,,,
U_8HMBR5XQT4P5,2024-04-22,,,,
U_8HMBR5XQT4P5,2024-09-08,,,,
U_8HMBR5XQT4P5,2024-11-11,,,,
U_8HMBR5XQT4P5,2024-12-29,,,,
U_0KM3TZK3NY9V,2024-04-09,,,,
U_0KM3TZK3NY9V,2024-04-24,,,,
U_0KM3TZK3NY9V,2024-06-03,,,,
U_0KM3TZK3NY9V,2024-06-18,,,,
U_0KM3TZK3NY9V,2024-07-07,,,,
U_0KM3TZK3NY9V,2024-09-03,,,,
U_0KM3TZK3NY9V,2024-11-09,,,,
U_0KM3TZK3NY9V,2024-11-13,,,,
U_0KM3TZK3NY9V,2024-11-23,,,,
U_IIDLRYE89FX5,2024-01-18,,,,
U_IIDLRYE89FX5,2024-03-31,,,,
U_IIDLRYE89FX5,2024-04-01,,,,
U_IIDLRYE89FX5,2024-07-12,,,,
U_IIDLRYE89FX5,2024-07-16,,,,
U_IIDLRYE89FX5,2024-08-09,,,,
U_IIDLRYE89FX5,2024-08-11,,,,
U_IIDLRYE89FX5,2024-08-25,,,,
U_OIH5CSK30LVY,2024-03-09,,,,
U_OIH5CSK30LVY,2024-03-17,,,,
U_OIH5CSK30LVY,2024-04-28,,,,
U_OIH5CSK30LVY,2024-05-15,,,,
U_OIH5CSK30LVY,2024-07-27,,,,
U_OIH5CSK30LVY,2024-08-26,,,,
U_OIH5CSK30LVY,2024-09-19,,,,
U_J7UPFLN4RXYJ,2024-02-10,,,,
U_J7UPFLN4RXYJ,2024-02-15,,,,
U_J7UPFLN4RXYJ,2024-03-12,,,,
U_J7UPFLN4RXYJ,2024-07-03,,,,
