user_id,sleep_date,total_minutes_asleep,total_minutes_awake,avg_sleep_efficiency,segment_count,has_unknown_main_sleep
U_5NQ4FMYZYCWT,2024-01-11,360.0,31.0,98.0,1,0
U_5NQ4FMYZYCWT,2024-01-18,140.0,42.0,83.0,1,0
U_5NQ4FMYZYCWT,2024-01-29,360.0,29.0,88.0,1,0
U_5NQ4FMYZYCWT,2024-02-04,300.0,76.0,82.0,2,0
U_5NQ4FMYZYCWT,2024-02-17,175.0,16.0,88.0,1,0
U_5NQ4FMYZYCWT,2024-02-26,506.0,112.0,92.5,2,0
U_5NQ4FMYZYCWT,2024-03-11,341.0,38.0,89.5,2,0
U_5NQ4FMYZYCWT,2024-03-31,128.0,60.0,,1,0
U_5NQ4FMYZYCWT,2024-04-01,299.0,42.0,82.0,2,0
U_5NQ4FMYZYCWT,2024-04-09,360.0,0.0,,1,1
U_5NQ4FMYZYCWT,2024-04-29,,70.0,79.0,1,0
U_5NQ4FMYZYCWT,2024-04-30,345.0,41.0,81.0,1,0
U_5NQ4FMYZYCWT,2024-05-18,360.0,43.0,85.0,1,0
U_5NQ4FMYZYCWT,2024-05-19,360.0,35.0,96.0,1,1
U_5NQ4FMYZYCWT,2024-05-26,360.0,13.0,79.0,1,0
U_5NQ4FMYZYCWT,2024-06-04,679.0,83.0,88.33333333333333,4,0
U_5NQ4FMYZYCWT,2024-06-08,316.0,30.0,87.0,2,0
U_5NQ4FMYZYCWT,2024-06-11,507.0,59.0,83.66666666666667,3,0
U_5NQ4FMYZYCWT,2024-06-13,360.0,18.0,89.0,1,0
U_5NQ4FMYZYCWT,2024-06-18,360.0,,89.0,1,0
U_5NQ4FMYZYCWT,2024-07-07,182.0,42.0,91.0,1,0
U_5NQ4FMYZYCWT,2024-07-12,327.0,47.0,97.0,1,0
U_5NQ4FMYZYCWT,2024-07-31,352.0,38.0,87.0,2,0
U_5NQ4FMYZYCWT,2024-08-05,212.0,28.0,95.0,1,1
U_5NQ4FMYZYCWT,2024-08-09,329.0,53.0,92.66666666666667,3,0
