TotalSteps,TrackerDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,source,steps_clean,steps_flag_outlier,minutes_flag_over_1440,user_id,date,total_minutes_asleep,total_minutes_awake,avg_sleep_efficiency,segment_count,has_unknown_main_sleep,rhr_clean_daily,rhr_flag_invalid_daily
10233.0,7.31,,22.0,38.0,1225.0,2617.0,Fitbit,10233.0,0,0,U_5NQ4FMYZYCWT,2024-01-01,173.0,22.0,79.0,1,0,66.3,0
7380.0,5.27,26.0,24.0,33.0,,1841.0,Fitbit,7380.0,0,0,U_5NQ4FMYZYCWT,2024-01-02,,50.0,83.0,1,0,68.0,0
11229.0,8.02,77.0,31.0,73.0,1234.0,2107.0,Fitbit,11229.0,0,0,U_5NQ4FMYZYCWT,2024-01-03,360.0,12.0,91.0,1,0,65.3,0
6515.0,4.65,19.0,38.0,104.0,1306.0,2216.0,Fitbit,6515.0,0,1,U_5NQ4FMYZYCWT,2024-01-04,250.0,65.0,88.5,2,0,67.9,0
10808.0,7.72,58.0,38.0,40.0,,2367.0,Fitbit,10808.0,0,0,U_5NQ4FMYZYCWT,2024-01-05,172.0,42.0,82.0,1,0,68.6,0
6474.0,4.62,18.0,28.0,,1242.0,2407.0,Fitbit,6474.0,0,0,U_5NQ4FMYZYCWT,2024-01-06,360.0,37.0,87.0,1,1,66.7,0
6557.0,4.68,30.0,36.0,9.0,1345.0,,Fitbit,6557.0,0,0,U_5NQ4FMYZYCWT,2024-01-07,135.0,0.0,83.0,1,0,75.8,0
9288.0,6.63,,35.0,190.0,1353.0,2601.0,Fitbit,9288.0,0,1,U_5NQ4FMYZYCWT,2024-01-10,195.0,72.0,86.0,2,1,66.1,0
7792.0,5.57,78.0,7.0,113.0,1313.0,2449.0,Fitbit,7792.0,0,1,U_5NQ4FMYZYCWT,2024-01-11,360.0,31.0,98.0,1,0,61.0,0
6930.0,4.95,49.0,7.0,46.0,1291.0,2049.0,Fitbit,6930.0,0,0,U_5NQ4FMYZYCWT,2024-01-12,360.0,31.0,82.0,1,1,67.25,0
6988.0,4.99,36.0,,97.0,1245.0,1685.0,Fitbit,6988.0,0,0,U_5NQ4FMYZYCWT,2024-01-14,234.0,48.0,86.0,1,0,64.2,0
5435.0,,17.0,9.0,146.0,1375.0,1967.0,Fitbit,5435.0,0,1,U_5NQ4FMYZYCWT,2024-01-15,158.0,87.0,83.5,2,0,73.5,0
9912.0,7.08,63.0,31.0,212.0,1219.0,2253.0,Fitbit,9912.0,0,1,U_5NQ4FMYZYCWT,2024-01-16,236.0,29.0,85.0,1,0,66.1,0
11743.0,8.39,68.0,4.0,147.0,1228.0,2261.0,Fitbit,11743.0,0,1,U_5NQ4FMYZYCWT,2024-01-18,140.0,42.0,83.0,1,0,67.0,0
9729.0,6.95,41.0,2.0,138.0,1348.0,2390.0,Fitbit,9729.0,0,1,U_5NQ4FMYZYCWT,2024-01-19,302.0,69.0,81.0,2,1,62.9,0
8329.0,5.95,,25.0,215.0,,,Fitbit,8329.0,0,0,U_5NQ4FMYZYCWT,2024-01-23,360.0,34.0,94.0,1,1,62.4,0
9334.0,6.67,71.0,36.0,56.0,1327.0,1951.0,Fitbit,9334.0,0,1,U_5NQ4FMYZYCWT,2024-01-24,157.0,61.0,,1,0,79.3,0
7938.0,5.67,34.0,9.0,,1281.0,2229.0,Fitbit,7938.0,0,0,U_5NQ4FMYZYCWT,2024-01-25,360.0,42.0,81.0,1,0,,0
9034.0,6.45,,32.0,86.0,1327.0,2350.0,Fitbit,9034.0,0,1,U_5NQ4FMYZYCWT,2024-01-26,360.0,25.0,76.0,1,0,58.7,0
7166.0,5.12,32.0,32.0,215.0,1393.0,2097.0,Fitbit,7166.0,0,1,U_5NQ4FMYZYCWT,2024-01-27,200.0,,84.0,1,0,65.9,0
7591.0,5.42,57.0,39.0,51.0,1272.0,2301.0,Fitbit,7591.0,0,0,U_5NQ4FMYZYCWT,2024-01-28,360.0,19.0,,1,0,72.4,0
6603.0,4.72,41.0,10.0,206.0,1328.0,1966.0,Fitbit,6603.0,0,1,U_5NQ4FMYZYCWT,2024-01-29,360.0,29.0,88.0,1,0,74.3,0
9330.0,6.66,68.0,39.0,18.0,1278.0,2137.0,Fitbit,9330.0,0,0,U_5NQ4FMYZYCWT,2024-01-30,196.0,33.0,,1,0,66.2,0
7810.0,5.58,42.0,,206.0,1259.0,,Fitbit,7810.0,0,1,U_5NQ4FMYZYCWT,2024-02-02,360.0,7.0,83.0,1,0,65.1,0
10113.0,7.22,55.0,21.0,137.0,1296.0,2106.0,Fitbit,10113.0,0,1,U_5NQ4FMYZYCWT,2024-02-03,302.0,42.0,80.0,2,0,71.7,0
10097.0,7.21,59.0,9.0,136.0,1322.0,1878.0,Fitbit,10097.0,0,1,U_5NQ4FMYZYCWT,2024-02-05,136.0,40.0,85.0,1,0,75.3,0
8908.0,6.36,47.0,24.0,180.0,1275.0,2335.0,Fitbit,8908.0,0,1,U_5NQ4FMYZYCWT,2024-02-06,192.0,,,1,1,63.7,0
6044.0,4.32,45.0,35.0,57.0,1234.0,2075.0,Fitbit,6044.0,0,0,U_5NQ4FMYZYCWT,2024-02-07,360.0,58.0,85.0,1,0,78.8,0
10227.0,7.3,75.0,13.0,79.0,1185.0,2008.0,Fitbit,10227.0,0,0,U_5NQ4FMYZYCWT,2024-02-08,360.0,,67.0,1,0,67.4,0
9646.0,6.89,62.0,33.0,41.0,1311.0,2145.0,Fitbit,9646.0,0,1,U_5NQ4FMYZYCWT,2024-02-09,252.0,70.0,79.5,2,0,72.0,0
4803.0,3.43,,,,,,Fitbit,4803.0,0,0,U_5NQ4FMYZYCWT,2024-02-10,119.0,38.0,94.0,1,0,63.1,0
6758.0,4.83,30.0,36.0,136.0,1251.0,2000.0,Fitbit,6758.0,0,1,U_5NQ4FMYZYCWT,2024-02-12,96.0,0.0,69.0,1,0,63.9,0
9774.0,6.98,35.0,12.0,78.0,1226.0,2055.0,Fitbit,9774.0,0,0,U_5NQ4FMYZYCWT,2024-02-13,360.0,22.0,86.0,1,0,72.3,0
11219.0,8.01,95.0,,52.0,,1995.0,Fitbit,11219.0,0,0,U_5NQ4FMYZYCWT,2024-02-14,345.0,41.0,68.0,1,0,59.8,0
8951.0,6.39,59.0,17.0,2.0,1257.0,1883.0,Fitbit,8951.0,0,0,U_5NQ4FMYZYCWT,2024-02-15,360.0,0.0,82.0,1,0,60.3,0
10798.0,7.71,88.0,16.0,183.0,1241.0,2308.0,Fitbit,10798.0,0,1,U_5NQ4FMYZYCWT,2024-02-16,483.0,87.0,,2,1,55.2,0
7141.0,,55.0,16.0,89.0,,1713.0,Fitbit,7141.0,0,0,U_5NQ4FMYZYCWT,2024-02-17,175.0,16.0,88.0,1,0,72.2,0
7584.0,5.42,38.0,1.0,43.0,1294.0,2370.0,Fitbit,7584.0,0,0,U_5NQ4FMYZYCWT,2024-02-18,360.0,38.0,89.0,1,0,64.7,0
9414.0,6.72,73.0,39.0,162.0,1313.0,2394.0,Fitbit,9414.0,0,1,U_5NQ4FMYZYCWT,2024-02-19,,,79.0,1,0,74.1,0
9461.0,6.76,58.0,6.0,115.0,1198.0,2488.0,Fitbit,9461.0,0,0,U_5NQ4FMYZYCWT,2024-02-22,360.0,1.0,74.0,1,0,63.4,0
12145.0,8.68,78.0,20.0,189.0,1226.0,2416.0,Fitbit,12145.0,0,1,U_5NQ4FMYZYCWT,2024-02-23,360.0,47.0,81.0,1,0,76.1,0
8095.0,5.78,54.0,9.0,24.0,1337.0,2380.0,Fitbit,8095.0,0,0,U_5NQ4FMYZYCWT,2024-02-25,360.0,48.0,69.0,1,0,76.0,0
9820.0,7.01,63.0,,171.0,1196.0,2103.0,Fitbit,9820.0,0,0,U_5NQ4FMYZYCWT,2024-02-26,506.0,112.0,92.5,2,0,62.8,0
7050.0,5.04,30.0,1.0,206.0,,2163.0,Fitbit,7050.0,0,0,U_5NQ4FMYZYCWT,2024-02-28,349.0,51.0,82.0,1,0,62.8,0
12759.0,9.11,96.0,37.0,15.0,,2464.0,Fitbit,12759.0,0,0,U_5NQ4FMYZYCWT,2024-03-01,360.0,39.0,87.0,1,0,65.2,0
6875.0,4.91,39.0,16.0,188.0,1382.0,1813.0,Fitbit,6875.0,0,1,U_5NQ4FMYZYCWT,2024-03-02,343.0,23.0,73.0,1,0,64.6,0
5097.0,3.64,,5.0,197.0,1296.0,2328.0,Fitbit,5097.0,0,1,U_5NQ4FMYZYCWT,2024-03-03,,65.0,75.0,1,1,72.3,0
8761.0,6.26,49.0,40.0,,1198.0,2630.0,Fitbit,8761.0,0,0,U_5NQ4FMYZYCWT,2024-03-04,269.0,99.0,87.0,2,1,68.1,0
10806.0,7.72,77.0,40.0,161.0,1205.0,2491.0,Fitbit,10806.0,0,1,U_5NQ4FMYZYCWT,2024-03-05,151.0,,79.0,1,0,64.4,0
7480.0,5.34,44.0,35.0,203.0,1317.0,2531.0,Fitbit,7480.0,0,1,U_5NQ4FMYZYCWT,2024-03-06,360.0,,79.0,1,0,60.6,0
8803.0,6.29,,12.0,70.0,1274.0,2323.0,Fitbit,8803.0,0,0,U_5NQ4FMYZYCWT,2024-03-07,360.0,37.0,84.0,1,0,59.6,0
9392.0,6.71,65.0,27.0,,1324.0,,Fitbit,9392.0,0,0,U_5NQ4FMYZYCWT,2024-03-08,197.0,49.0,76.0,1,0,,0
10743.0,7.67,77.0,,122.0,1263.0,2162.0,Fitbit,10743.0,0,1,U_5NQ4FMYZYCWT,2024-03-09,360.0,17.0,92.0,1,0,71.0,0
