Id,ActivityDate,TotalSteps,TrackerDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,source
U_5NQ4FMYZYCWT,01-Jan-2024,10233,7.31,,22,38,1225,2617.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-02,7380,5.27,26,24,33,,1841.0,Fitbit
U_5NQ4FMYZYCWT,03-Jan-2024,11229,8.02,77,31,73,1234,2107.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-04,6515,4.65,19,38,104,1306,2216.0,Fitbit
U_5NQ4FMYZYCWT,01/05/2024,10808,7.72,58,38,40,,2367.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-06,6474,4.62,18,28,,1242,2407.0,Fitbit
U_5NQ4FMYZYCWT,07-Jan-2024,6557,4.68,30,36,9,1345,,Fitbit
U_5NQ4FMYZYCWT,2024/01/08 00:00,9071,6.48,55,37,80,1267,2428.0,Fitbit
U_5NQ4FMYZYCWT,09-Jan-2024,7143,5.1,38,7,91,1248,1872.0,Fitbit
U_5NQ4FMYZYCWT,01/10/2024,9288,6.63,,35,190,1353,2601.0,Fitbit
U_5NQ4FMYZYCWT,01/11/2024,7792,5.57,78,7,113,1313,2449.0,Fitbit
U_5NQ4FMYZYCWT,12-Jan-2024,6930,4.95,49,7,46,1291,2049.0,Fitbit
U_5NQ4FMYZYCWT,2024/01/13 00:00,6006,4.29,40,33,167,1284,2317.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-14,6988,4.99,36,,97,1245,1685.0,Fitbit
U_5NQ4FMYZYCWT,01/15/2024,5435,,17,9,146,1375,1967.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-16,9912,7.08,63,31,212,1219,2253.0,Fitbit
U_5NQ4FMYZYCWT,2024/01/18 00:00,11743,8.39,68,4,147,1228,2261.0,Fitbit
U_5NQ4FMYZYCWT,01/19/2024,9729,6.95,41,2,138,1348,2390.0,Fitbit
,01/20/2024,8459,6.04,47,24,,1220,2156.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-22,9023,6.45,,,45,1340,2548.0,Fitbit
U_5NQ4FMYZYCWT,23-Jan-2024,8329,5.95,,25,215,,,Fitbit
U_5NQ4FMYZYCWT,24-Jan-2024,9334,6.67,71,36,56,1327,1951.0,Fitbit
U_5NQ4FMYZYCWT,25-Jan-2024,7938,5.67,34,9,,1281,2229.0,Fitbit
U_5NQ4FMYZYCWT,01/26/2024,9034,6.45,,32,86,1327,2350.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-27,7166,5.12,32,32,215,1393,2097.0,Fitbit
U_5NQ4FMYZYCWT,01/28/2024,7591,5.42,57,39,51,1272,2301.0,Fitbit
U_5NQ4FMYZYCWT,2024-01-29,6603,4.72,41,10,206,1328,1966.0,Fitbit
U_5NQ4FMYZYCWT,2024/01/30 00:00,9330,6.66,68,39,18,1278,2137.0,Fitbit
U_5NQ4FMYZYCWT,31-Jan-2024,9743,6.96,36,27,,1303,1932.0,Fitbit
U_5NQ4FMYZYCWT,2024/02/01 00:00,8732,6.24,45,6,211,1225,2009.0,Fitbit
U_5NQ4FMYZYCWT,02-Feb-2024,7810,5.58,42,,206,1259,,Fitbit
U_5NQ4FMYZYCWT,03-Feb-2024,10113,7.22,55,21,137,1296,2106.0,Fitbit
U_5NQ4FMYZYCWT,02/05/2024,10097,7.21,59,9,136,1322,1878.0,Fitbit
U_5NQ4FMYZYCWT,02/06/2024,8908,6.36,47,24,180,1275,2335.0,Fitbit
U_5NQ4FMYZYCWT,2024/02/07 00:00,6044,4.32,45,35,57,1234,2075.0,Fitbit
U_5NQ4FMYZYCWT,2024-02-08,10227,7.3,75,13,79,1185,2008.0,Fitbit
U_5NQ4FMYZYCWT,09-Feb-2024,9646,6.89,62,33,41,1311,2145.0,Fitbit
U_5NQ4FMYZYCWT,10-Feb-2024,4803,3.43,,,,,,Fitbit
,2024-02-11,6180,4.41,49,19,27,1338,2021.0,Fitbit
U_5NQ4FMYZYCWT,2024-02-12,6758,4.83,30,36,136,1251,2000.0,Fitbit
U_5NQ4FMYZYCWT,13-Feb-2024,9774,6.98,35,12,78,1226,2055.0,Fitbit
U_5NQ4FMYZYCWT,2024-02-14,11219,8.01,95,,52,,1995.0,Fitbit
U_5NQ4FMYZYCWT,2024/02/15 00:00,8951,6.39,59,17,2,1257,1883.0,Fitbit
U_5NQ4FMYZYCWT,2024/02/16 00:00,10798,7.71,88,16,183,1241,2308.0,Fitbit
U_5NQ4FMYZYCWT,02/17/2024,7141,,55,16,89,,1713.0,Fitbit
U_5NQ4FMYZYCWT,18-Feb-2024,7584,5.42,38,1,43,1294,2370.0,Fitbit
U_5NQ4FMYZYCWT,19-Feb-2024,9414,6.72,73,39,162,1313,2394.0,Fitbit
U_5NQ4FMYZYCWT,2024/02/21 00:00,10350,7.39,79,26,117,1235,2449.0,Fitbit
U_5NQ4FMYZYCWT,2024/02/22 00:00,9461,6.76,58,6,115,1198,2488.0,Fitbit
U_5NQ4FMYZYCWT,02/23/2024,12145,8.68,78,20,189,1226,2416.0,Fitbit
U_5NQ4FMYZYCWT,2024-02-24,7646,5.46,36,9,78,1290,2289.0,Fitbit
U_5NQ4FMYZYCWT,2024/02/25 00:00,8095,5.78,54,9,24,1337,2380.0,Fitbit
U_5NQ4FMYZYCWT,26-Feb-2024,9820,7.01,63,,171,1196,2103.0,Fitbit
U_5NQ4FMYZYCWT,2024-02-27,9925,,75,1,51,1268,2149.0,Fitbit
U_5NQ4FMYZYCWT,2024-02-28,7050,5.04,30,1,206,,2163.0,Fitbit
U_5NQ4FMYZYCWT,2024-02-29,10801,7.71,62,21,27,1335,2891.0,Fitbit
U_5NQ4FMYZYCWT,2024/03/01 00:00,12759,9.11,96,37,15,,2464.0,Fitbit
U_5NQ4FMYZYCWT,02-Mar-2024,6875,4.91,39,16,188,1382,1813.0,Fitbit
U_5NQ4FMYZYCWT,2024/03/03 00:00,5097,3.64,,5,197,1296,2328.0,Fitbit
U_5NQ4FMYZYCWT,2024-03-04,8761,6.26,49,40,,1198,2630.0,Fitbit
U_5NQ4FMYZYCWT,2024/03/05 00:00,10806,7.72,77,40,161,1205,2491.0,Fitbit
U_5NQ4FMYZYCWT,06-Mar-2024,7480,5.34,44,35,203,1317,2531.0,Fitbit
U_5NQ4FMYZYCWT,2024/03/07 00:00,8803,6.29,,12,70,1274,2323.0,Fitbit
U_5NQ4FMYZYCWT,03/08/2024,9392,6.71,65,27,,1324,,Fitbit
U_5NQ4FMYZYCWT,2024/03/09 00:00,10743,7.67,77,,122,1263,2162.0,Fitbit
U_5NQ4FMYZYCWT,03/10/2024,6026,4.3,39,33,182,1301,2269.0,Fitbit
U_5NQ4FMYZYCWT,03/11/2024,9692,6.92,,,106,1356,,Fitbit
U_5NQ4FMYZYCWT,12-Mar-2024,10608,7.58,81,16,83,1247,2334.0,Fitbit
U_5NQ4FMYZYCWT,13-Mar-2024,7201,5.14,34,3,58,1323,,Fitbit
U_5NQ4FMYZYCWT,03/14/2024,7124,5.09,46,,5,1374,2465.0,Fitbit
U_5NQ4FMYZYCWT,15-Mar-2024,8735,6.24,,,,1250,2188.0,Fitbit
U_5NQ4FMYZYCWT,2024-03-16,9104,6.5,37,23,95,1235,2541.0,Fitbit
U_5NQ4FMYZYCWT,18-Mar-2024,7266,5.19,34,28,220,1374,2098.0,Fitbit
U_5NQ4FMYZYCWT,2024-03-19,11485,8.2,74,10,175,1265,2361.0,Fitbit
U_5NQ4FMYZYCWT,03/20/2024,10949,7.82,,7,211,,2823.0,Fitbit
U_5NQ4FMYZYCWT,2024-03-21,10627,7.59,85,21,,1169,2150.0,Fitbit
