id,sleep_start,sleep_end,minutesAsleep,minutesAwake,sleep_efficiency,isMainSleep
U_5NQ4FMYZYCWT,2024/01/01 20:51,2024-01-01 23:44:00,173,22,79,TRUE
U_5NQ4FMYZYCWT,2024-01-01 22:25:00,2024-01-02 01:20:00,,50,83,FALSE
U_5NQ4FMYZYCWT,2024-01-02 22:17:00,2024-01-03 04:17:00,360,12,91,0
U_5NQ4FMYZYCWT,2024-01-03 23:24:00,2024-01-04 05:24:00,360,56,79,FALSE
U_5NQ4FMYZYCWT,2024-01-04 22:51:00,2024-01-05 01:43:00,172,42,82,0
U_5NQ4FMYZYCWT,2024/01/04 21:31,2024-01-04 23:32:00,121,31,96,TRUE
U_5NQ4FMYZYCWT,2024-01-04 20:46:00,2024-01-04 22:55:00,129,34,81,1
U_5NQ4FMYZYCWT,2024-01-05 22:22:00,2024-01-06 04:22:00,360,37,87,
U_5NQ4FMYZYCWT,2024/01/06 21:37,2024-01-07 03:37:00,360,,84,False
U_5NQ4FMYZYCWT,2024-01-07 21:09:00,2024-01-07 23:16:00,127,,90,0
U_5NQ4FMYZYCWT,2024/01/07 21:28,2024-01-07 23:43:00,135,0,83,TRUE
U_5NQ4FMYZYCWT,2024/01/09 22:39,2024-01-10 01:54:00,195,50,80,
U_5NQ4FMYZYCWT,2024-01-09 20:50:00,2024-01-10 00:01:00,,22,92,0
U_5NQ4FMYZYCWT,2024-01-10 21:51:00,2024-01-11 03:51:00,360,31,98,FALSE
U_5NQ4FMYZYCWT,2024-01-11 21:54:00,2024-01-12 03:54:00,360,31,82,
U_5NQ4FMYZYCWT,2024-01-12 21:57:00,2024-01-13 00:50:00,173,31,89,
U_5NQ4FMYZYCWT,2024/01/12 21:29,2024-01-13 00:10:00,161,5,85,True
U_5NQ4FMYZYCWT,2024-01-12 23:25:00,2024-01-13 02:34:00,189,34,90,False
U_5NQ4FMYZYCWT,2024-01-13 23:40:00,2024-01-14 03:34:00,234,48,86,True
U_5NQ4FMYZYCWT,2024-01-13 23:45:00,2024-01-14 02:47:00,,34,81,FALSE
U_5NQ4FMYZYCWT,2024-01-14 23:34:00,2024-01-15 01:13:00,99,35,98,FALSE
U_5NQ4FMYZYCWT,2024-01-14 23:26:00,2024-01-15 02:04:00,158,67,87,1
U_5NQ4FMYZYCWT,2024/01/14 22:06,2024-01-15 00:48:00,,20,80,TRUE
U_5NQ4FMYZYCWT,2024-01-15 22:02:00,2024-01-16 01:58:00,236,57,72,FALSE
U_5NQ4FMYZYCWT,2024-01-15 21:28:00,2024-01-16 01:24:00,236,29,85,TRUE
U_5NQ4FMYZYCWT,2024-01-16 22:57:00,2024-01-17 02:20:00,,,,1
U_5NQ4FMYZYCWT,2024-01-16 20:52:00,2024-01-17 00:32:00,220,35,89,True
U_5NQ4FMYZYCWT,2024/01/18 20:34,2024-01-18 22:54:00,140,42,83,1
U_5NQ4FMYZYCWT,2024-01-18 23:22:00,2024-01-19 01:43:00,141,0,78,
U_5NQ4FMYZYCWT,2024-01-18 22:57:00,2024-01-19 01:38:00,161,69,84,False
U_5NQ4FMYZYCWT,2024-01-19 21:25:00,2024-01-20 03:25:00,,40,79,FALSE
U_5NQ4FMYZYCWT,2024/01/20 21:18,2024-01-20 23:51:00,153,0,94,1
U_5NQ4FMYZYCWT,2024-01-20 20:58:00,2024-01-21 00:04:00,,0,80,True
U_5NQ4FMYZYCWT,2024-01-20 22:00:00,2024-01-21 01:26:00,206,,91,False
U_5NQ4FMYZYCWT,2024/01/22 22:17,2024-01-23 04:17:00,360,34,94,
U_5NQ4FMYZYCWT,2024/01/23 21:27,2024-01-24 00:11:00,164,,90,
U_5NQ4FMYZYCWT,2024-01-23 22:47:00,2024-01-24 01:24:00,157,61,,TRUE
U_5NQ4FMYZYCWT,2024-01-24 23:36:00,2024-01-25 05:36:00,360,42,81,1
U_5NQ4FMYZYCWT,2024-01-25 22:56:00,2024-01-26 04:56:00,360,25,76,1
U_5NQ4FMYZYCWT,2024-01-26 20:46:00,2024-01-27 00:22:00,216,,,
U_5NQ4FMYZYCWT,2024/01/26 20:58,2024-01-27 00:18:00,200,,84,1
U_5NQ4FMYZYCWT,2024-01-27 23:27:00,2024-01-28 05:27:00,360,19,,0
U_5NQ4FMYZYCWT,2024/01/28 20:49,2024-01-29 02:49:00,360,29,88,1
U_5NQ4FMYZYCWT,2024-01-29 21:05:00,2024-01-29 23:47:00,162,0,83,False
U_5NQ4FMYZYCWT,2024-01-29 21:22:00,2024-01-30 00:38:00,196,33,,TRUE
U_5NQ4FMYZYCWT,2024-01-30 23:31:00,2024-01-31 05:31:00,360,22,85,True
U_5NQ4FMYZYCWT,2024-02-01 22:02:00,2024-02-02 04:02:00,360,7,83,0
U_5NQ4FMYZYCWT,2024-02-02 21:34:00,2024-02-03 00:09:00,155,15,75,TRUE
U_5NQ4FMYZYCWT,2024-02-02 22:24:00,2024-02-03 00:49:00,145,28,89,
U_5NQ4FMYZYCWT,2024/02/02 23:53,2024-02-03 02:13:00,140,39,73,0
U_5NQ4FMYZYCWT,2024/02/03 21:21,2024-02-03 23:48:00,147,27,85,TRUE
U_5NQ4FMYZYCWT,2024/02/03 23:43,2024-02-04 02:16:00,153,,80,1
U_5NQ4FMYZYCWT,2024-02-03 23:29:00,2024-02-04 01:56:00,147,76,84,1
U_5NQ4FMYZYCWT,2024-02-05 20:36:00,2024-02-05 22:52:00,136,40,85,False
U_5NQ4FMYZYCWT,2024-02-05 22:22:00,2024-02-06 01:34:00,192,,,
U_5NQ4FMYZYCWT,2024-02-06 21:52:00,2024-02-07 03:52:00,360,58,85,False
U_5NQ4FMYZYCWT,2024-02-07 21:58:00,2024-02-08 03:58:00,360,,67,TRUE
U_5NQ4FMYZYCWT,2024-02-09 22:56:00,2024-02-10 00:55:00,119,38,94,FALSE
U_5NQ4FMYZYCWT,2024-02-09 21:05:00,2024-02-09 22:58:00,113,32,77,FALSE
U_5NQ4FMYZYCWT,2024-02-09 21:34:00,2024-02-09 23:53:00,139,38,82,0
U_5NQ4FMYZYCWT,2024-02-10 20:54:00,2024-02-11 00:14:00,200,0,90,FALSE
U_5NQ4FMYZYCWT,2024-02-10 23:30:00,2024-02-11 03:14:00,224,93,78,FALSE
U_5NQ4FMYZYCWT,2024-02-11 23:50:00,2024-02-12 01:26:00,96,0,69,TRUE
U_5NQ4FMYZYCWT,2024/02/11 21:06,2024-02-11 23:03:00,117,28,80,TRUE
U_5NQ4FMYZYCWT,2024-02-11 20:45:00,2024-02-11 23:26:00,161,59,82,0
U_5NQ4FMYZYCWT,2024/02/12 22:35,2024-02-13 04:35:00,360,22,86,TRUE
U_5NQ4FMYZYCWT,2024-02-14 00:00:00,2024-02-14 05:45:00,345,41,68,False
U_5NQ4FMYZYCWT,2024-02-14 22:05:00,2024-02-15 04:05:00,360,0,82,1
U_5NQ4FMYZYCWT,2024-02-15 23:28:00,2024-02-16 05:28:00,360,56,,False
U_5NQ4FMYZYCWT,2024/02/16 21:21,2024-02-16 23:24:00,123,31,,
U_5NQ4FMYZYCWT,2024/02/16 22:09,2024-02-17 01:04:00,175,16,88,1
U_5NQ4FMYZYCWT,2024-02-16 22:04:00,2024-02-17 00:15:00,131,60,,
U_5NQ4FMYZYCWT,2024/02/17 22:22,2024-02-18 04:22:00,360,38,89,False
U_5NQ4FMYZYCWT,2024-02-18 21:27:00,2024-02-19 03:19:00,,,79,1
U_5NQ4FMYZYCWT,2024-02-19 22:04:00,2024-02-20 03:41:00,337,79,,1
U_5NQ4FMYZYCWT,2024/02/21 22:55,2024-02-22 04:55:00,360,1,74,FALSE
U_5NQ4FMYZYCWT,2024/02/22 23:27,2024-02-23 05:27:00,360,47,81,0
U_5NQ4FMYZYCWT,2024/02/24 21:08,2024-02-25 03:08:00,360,48,69,1
U_5NQ4FMYZYCWT,2024-02-25 22:24:00,2024-02-26 04:24:00,360,67,98,TRUE
U_5NQ4FMYZYCWT,2024-02-26 21:13:00,2024-02-26 23:39:00,146,45,87,True
U_5NQ4FMYZYCWT,2024-02-26 22:35:00,2024-02-27 00:46:00,131,45,91,TRUE
U_5NQ4FMYZYCWT,2024-02-26 22:24:00,2024-02-27 01:05:00,161,58,76,0
U_5NQ4FMYZYCWT,2024-02-27 21:58:00,2024-02-28 03:47:00,349,51,82,FALSE
U_5NQ4FMYZYCWT,2024/02/29 21:23,2024-03-01 03:23:00,360,39,87,FALSE
U_5NQ4FMYZYCWT,2024/03/01 21:18,2024-03-02 03:01:00,343,23,73,0
U_5NQ4FMYZYCWT,2024-03-03 22:04:00,2024-03-04 00:25:00,141,37,82,False
U_5NQ4FMYZYCWT,2024-03-03 21:28:00,2024-03-03 23:58:00,,65,75,
U_5NQ4FMYZYCWT,2024-03-03 22:13:00,2024-03-04 00:21:00,128,62,92,
U_5NQ4FMYZYCWT,2024/03/04 22:10,2024-03-05 01:42:00,212,46,85,False
U_5NQ4FMYZYCWT,2024-03-04 22:34:00,2024-03-05 01:18:00,164,27,98,FALSE
U_5NQ4FMYZYCWT,2024/03/04 23:20,2024-03-05 01:51:00,151,,79,TRUE
U_5NQ4FMYZYCWT,2024-03-05 22:04:00,2024-03-06 04:04:00,360,,79,TRUE
U_5NQ4FMYZYCWT,2024-03-06 21:50:00,2024-03-07 03:50:00,360,37,84,True
U_5NQ4FMYZYCWT,2024-03-07 21:51:00,2024-03-08 01:08:00,197,31,78,
U_5NQ4FMYZYCWT,2024/03/07 23:15,2024-03-08 02:32:00,197,49,76,True
U_5NQ4FMYZYCWT,2024-03-08 23:02:00,2024-03-09 05:02:00,360,17,92,False
U_5NQ4FMYZYCWT,2024/03/09 23:14,2024-03-10 05:14:00,360,17,83,True
U_5NQ4FMYZYCWT,2024/03/10 23:27,2024-03-11 02:00:00,153,19,86,True
U_5NQ4FMYZYCWT,2024-03-10 23:45:00,2024-03-11 02:53:00,188,19,93,1
U_5NQ4FMYZYCWT,2024/03/10 20:36,2024-03-10 23:43:00,187,18,,False
U_5NQ4FMYZYCWT,2024/03/11 22:11,2024-03-12 04:11:00,360,23,85,TRUE
U_5NQ4FMYZYCWT,2024-03-12 22:09:00,2024-03-13 04:09:00,360,36,82,1
U_5NQ4FMYZYCWT,2024-03-13 23:04:00,2024-03-14 01:40:00,156,43,83,
U_5NQ4FMYZYCWT,2024-03-13 23:20:00,2024-03-14 01:15:00,115,36,74,
U_5NQ4FMYZYCWT,2024-03-13 20:37:00,2024-03-13 22:58:00,141,52,76,TRUE
U_5NQ4FMYZYCWT,2024/03/14 22:31,2024-03-15 04:31:00,360,17,85,1
U_5NQ4FMYZYCWT,2024-03-15 21:21:00,2024-03-15 23:56:00,,52,91,FALSE
