UserId,date,total_sleep_duration,deep_sleep_duration,rem_sleep_duration,restless,readiness_score,temperature_deviation,bedtime_start,bedtime_end,source
U_XAJI0Y6DPBHS,2024/01/01 00:00,29828,8774,5059,32,61,0.15,2024-01-01T23:59:00,2024-01-02T05:56:00,Oura
U_XAJI0Y6DPBHS,02-Jan-2024,29699,6517,7863,36,54,-0.14,2024-01-02T20:45:00,2024-01-03T05:24:00,Oura
U_XAJI0Y6DPBHS,03-Jan-2024,28117,,3761,19,61,0.31,2024-01-04T00:03:00,2024-01-04T05:33:00,Oura
U_XAJI0Y6DPBHS,2024/01/04 00:00,27670,5275,3884,,68,0.23,2024-01-04T20:33:00,2024-01-05T07:25:00,Oura
U_XAJI0Y6DPBHS,05-Jan-2024,24997,5604,5465,14,61,0.1,2024-01-05T23:43:00,2024-01-06T06:29:00,Oura
U_XAJI0Y6DPBHS,2024-01-06,27585,2649,,25,81,0.17,2024-01-07T00:53:00,2024-01-07T07:38:00,Oura
U_XAJI0Y6DPBHS,2024-01-07,31468,6166,8050,,85,0.02,2024-01-07T23:36:00,2024-01-08T07:13:00,Oura
U_XAJI0Y6DPBHS,08-Jan-2024,30509,7211,8352,18,82,,2024-01-08T23:55:00,2024-01-09T07:11:00,Oura
U_XAJI0Y6DPBHS,2024-01-09,28609,4128,5523,34,88,-0.19,2024-01-09T20:17:00,2024-01-10T07:13:00,Oura
U_XAJI0Y6DPBHS,10-Jan-2024,34047,4855,4039,1,78,0.03,2024-01-10T21:50:00,2024-01-11T08:43:00,Oura
U_XAJI0Y6DPBHS,11-Jan-2024,32137,5787,5421,28,64,-0.1,2024-01-11T21:55:00,2024-01-12T04:56:00,Oura
U_XAJI0Y6DPBHS,2024-01-12,31891,9656,6350,52,62,-0.19,2024-01-12T20:11:00,2024-01-13T09:10:00,Oura
U_XAJI0Y6DPBHS,13-Jan-2024,29500,3362,5243,8,83,-0.03,2024-01-13T22:24:00,2024-01-14T06:54:00,Oura
U_XAJI0Y6DPBHS,2024/01/14 00:00,32695,7286,4698,,69,0.09,2024-01-14T20:27:00,2024-01-15T07:05:00,Oura
U_XAJI0Y6DPBHS,15-Jan-2024,29607,5584,6915,27,89,-0.17,2024-01-15T21:40:00,2024-01-16T04:34:00,Oura
U_XAJI0Y6DPBHS,16-Jan-2024,30163,5212,4552,46,67,-0.01,2024-01-16T23:38:00,2024-01-17T05:56:00,Oura
U_XAJI0Y6DPBHS,2024-01-17,28621,5841,5846,,65,0.12,2024-01-17T21:16:00,2024-01-18T07:56:00,Oura
U_XAJI0Y6DPBHS,2024-01-18,,3373,4546,33,73,-0.11,2024-01-18T20:45:00,2024-01-19T08:27:00,Oura
U_XAJI0Y6DPBHS,2024/01/19 00:00,29559,4322,3327,,72,-0.08,2024-01-20T00:20:00,2024-01-20T06:25:00,Oura
U_XAJI0Y6DPBHS,2024-01-20,36919,6189,10189,38,,-0.18,2024-01-20T23:42:00,2024-01-21T07:02:00,Oura
U_XAJI0Y6DPBHS,2024/01/21 00:00,29391,5642,2482,56,71,-0.17,2024-01-21T20:10:00,2024-01-22T07:51:00,Oura
U_XAJI0Y6DPBHS,2024/01/22 00:00,29777,5993,8880,,62,-0.38,2024-01-22T21:03:00,2024-01-23T06:16:00,Oura
U_XAJI0Y6DPBHS,2024/01/23 00:00,28298,5739,3918,,71,,2024-01-23T21:45:00,2024-01-24T05:52:00,Oura
U_XAJI0Y6DPBHS,2024-01-24,33458,3756,,44,69,0.26,2024-01-24T23:36:00,2024-01-25T04:30:00,Oura
U_XAJI0Y6DPBHS,2024-01-25,27857,4573,6856,15,74,0.27,2024-01-26T00:55:00,2024-01-26T08:41:00,Oura
U_XAJI0Y6DPBHS,2024/01/26 00:00,32281,6937,8492,25,81,0.14,2024-01-26T20:22:00,2024-01-27T06:31:00,Oura
U_XAJI0Y6DPBHS,2024-01-27,27324,4899,3431,40,62,-0.03,2024-01-27T23:03:00,2024-01-28T06:52:00,Oura
U_XAJI0Y6DPBHS,2024-01-28,30474,6846,7551,28,80,0.16,2024-01-28T23:53:00,2024-01-29T05:12:00,Oura
U_XAJI0Y6DPBHS,29-Jan-2024,30871,7506,2567,29,74,0.16,2024-01-29T21:38:00,2024-01-30T07:40:00,Oura
U_XAJI0Y6DPBHS,2024/01/30 00:00,31775,4203,9701,22,70,0.03,2024-01-30T23:42:00,2024-01-31T07:44:00,Oura
U_XAJI0Y6DPBHS,2024-01-31,25308,3236,4926,16,68,0.29,2024-01-31T22:48:00,2024-02-01T05:15:00,Oura
U_XAJI0Y6DPBHS,01-Feb-2024,25130,3801,5684,16,78,,2024-02-01T21:53:00,2024-02-02T07:43:00,Oura
U_XAJI0Y6DPBHS,2024-02-02,28586,6941,6357,46,84,0.2,2024-02-02T20:48:00,2024-02-03T09:00:00,Oura
U_XAJI0Y6DPBHS,03-Feb-2024,28285,5236,7301,8,65,-0.13,2024-02-03T23:19:00,2024-02-04T06:02:00,Oura
U_XAJI0Y6DPBHS,04-Feb-2024,32600,2351,4216,32,83,-0.03,2024-02-04T21:05:00,2024-02-05T06:42:00,Oura
U_XAJI0Y6DPBHS,2024-02-05,26526,5726,5524,,75,-0.01,2024-02-05T23:09:00,2024-02-06T06:37:00,Oura
U_XAJI0Y6DPBHS,2024/02/06 00:00,29790,3671,7325,19,78,0.17,2024-02-06T22:21:00,2024-02-07T08:09:00,Oura
U_XAJI0Y6DPBHS,2024/02/07 00:00,29831,8526,5497,27,63,-0.14,2024-02-07T23:28:00,2024-02-08T07:10:00,Oura
U_XAJI0Y6DPBHS,2024-02-08,26791,,,,72,0.05,2024-02-08T20:05:00,2024-02-09T08:07:00,Oura
U_XAJI0Y6DPBHS,2024/02/09 00:00,30880,4903,8229,21,65,-0.03,2024-02-09T21:03:00,2024-02-10T07:57:00,Oura
U_XAJI0Y6DPBHS,2024-02-10,36378,6927,7004,56,80,-0.12,2024-02-10T22:05:00,2024-02-11T09:00:00,Oura
U_XAJI0Y6DPBHS,2024/02/11 00:00,27443,6291,4739,20,62,0.02,2024-02-11T21:55:00,2024-02-12T05:59:00,Oura
U_XAJI0Y6DPBHS,2024-02-12,27734,4050,6271,,70,0.02,2024-02-12T22:53:00,2024-02-13T06:37:00,Oura
U_XAJI0Y6DPBHS,2024/02/13 00:00,29911,8079,9002,35,53,,2024-02-13T23:21:00,2024-02-14T06:21:00,Oura
U_XAJI0Y6DPBHS,14-Feb-2024,29064,6400,5311,20,77,-0.05,2024-02-15T00:09:00,2024-02-15T04:59:00,Oura
U_XAJI0Y6DPBHS,15-Feb-2024,,6019,,27,74,,2024-02-15T21:41:00,2024-02-16T05:13:00,Oura
U_XAJI0Y6DPBHS,2024/02/16 00:00,32833,7522,7961,32,91,0.07,2024-02-16T21:55:00,2024-02-17T08:30:00,Oura
U_XAJI0Y6DPBHS,17-Feb-2024,31012,7814,8084,16,71,-0.37,2024-02-17T23:44:00,2024-02-18T05:52:00,Oura
U_XAJI0Y6DPBHS,2024-02-18,29330,7745,6544,29,56,0.25,2024-02-18T20:20:00,2024-02-19T05:38:00,Oura
U_XAJI0Y6DPBHS,19-Feb-2024,28542,6950,,29,63,0.17,2024-02-19T21:00:00,2024-02-20T08:05:00,Oura
U_XAJI0Y6DPBHS,20-Feb-2024,25809,5251,2656,0,68,0.15,2024-02-21T00:16:00,2024-02-21T07:49:00,Oura
U_XAJI0Y6DPBHS,2024-02-21,32219,,7591,32,72,0.1,2024-02-21T22:55:00,2024-02-22T08:09:00,Oura
U_XAJI0Y6DPBHS,2024/02/22 00:00,27248,4887,3052,38,60,0.05,2024-02-22T21:18:00,2024-02-23T08:51:00,Oura
U_XAJI0Y6DPBHS,2024-02-23,27580,4459,4642,28,74,-0.09,2024-02-23T21:41:00,2024-02-24T08:32:00,Oura
U_XAJI0Y6DPBHS,2024/02/24 00:00,34243,,9407,31,59,-0.09,2024-02-24T21:16:00,2024-02-25T06:27:00,Oura
U_XAJI0Y6DPBHS,2024-02-25,27468,,6897,30,58,,2024-02-25T23:28:00,2024-02-26T08:58:00,Oura
U_XAJI0Y6DPBHS,26-Feb-2024,31115,2060,7863,10,,,2024-02-26T23:06:00,2024-02-27T06:53:00,Oura
U_XAJI0Y6DPBHS,27-Feb-2024,28247,5020,4636,25,,0.52,2024-02-27T22:26:00,2024-02-28T08:31:00,Oura
U_XAJI0Y6DPBHS,28-Feb-2024,29557,,8452,25,67,,2024-02-29T00:42:00,2024-02-29T05:36:00,Oura
U_XAJI0Y6DPBHS,29-Feb-2024,33067,1928,5297,23,69,0.09,2024-02-29T22:21:00,2024-03-01T06:17:00,Oura
U_XAJI0Y6DPBHS,2024/03/01 00:00,28594,6705,7023,36,79,-0.28,2024-03-01T21:37:00,2024-03-02T06:08:00,Oura
U_XAJI0Y6DPBHS,2024/03/02 00:00,29063,,7222,39,51,0.16,2024-03-03T00:33:00,2024-03-03T05:48:00,Oura
U_XAJI0Y6DPBHS,2024-03-03,27457,4236,2612,44,73,0.12,2024-03-04T00:46:00,2024-03-04T07:27:00,Oura
U_XAJI0Y6DPBHS,04-Mar-2024,31701,5711,3835,,64,-0.05,2024-03-04T20:11:00,2024-03-05T05:55:00,Oura
U_XAJI0Y6DPBHS,2024/03/05 00:00,27881,3382,6150,21,,-0.05,2024-03-05T23:23:00,2024-03-06T08:43:00,Oura
U_XAJI0Y6DPBHS,2024/03/06 00:00,30882,7507,,7,71,0.07,2024-03-06T22:19:00,2024-03-07T06:15:00,Oura
U_XAJI0Y6DPBHS,2024-03-07,,3380,,15,61,0.25,2024-03-07T22:12:00,2024-03-08T07:05:00,Oura
U_XAJI0Y6DPBHS,2024-03-08,31127,7551,,43,70,0.45,2024-03-08T22:22:00,2024-03-09T05:38:00,Oura
U_XAJI0Y6DPBHS,09-Mar-2024,26995,,4719,40,69,0.35,2024-03-09T23:08:00,2024-03-10T07:16:00,Oura
U_XAJI0Y6DPBHS,2024-03-10,27856,4024,6506,,54,-0.12,2024-03-10T20:05:00,2024-03-11T07:32:00,Oura
U_XAJI0Y6DPBHS,2024-03-11,28946,7263,11127,,80,-0.01,2024-03-12T00:58:00,2024-03-12T05:24:00,Oura
U_XAJI0Y6DPBHS,2024/03/12 00:00,28562,4334,5310,39,79,-0.07,2024-03-12T23:46:00,2024-03-13T06:22:00,Oura
U_XAJI0Y6DPBHS,13-Mar-2024,31050,6387,5123,27,78,0.11,2024-03-13T23:42:00,2024-03-14T07:38:00,Oura
U_XAJI0Y6DPBHS,2024-03-14,25315,,8237,28,65,0.14,2024-03-14T21:32:00,2024-03-15T06:54:00,Oura
U_XAJI0Y6DPBHS,2024-03-15,29822,6941,5998,36,78,,2024-03-15T23:52:00,2024-03-16T07:56:00,Oura
U_XAJI0Y6DPBHS,2024-03-17,30098,7530,11228,,63,,2024-03-17T20:22:00,2024-03-18T05:37:00,Oura
U_XAJI0Y6DPBHS,2024-03-18,29490,5853,5079,40,73,,2024-03-19T00:37:00,2024-03-19T07:23:00,Oura
U_XAJI0Y6DPBHS,2024/03/19 00:00,29121,7632,5953,17,78,-0.16,2024-03-20T00:05:00,2024-03-20T05:49:00,Oura
U_XAJI0Y6DPBHS,2024-03-20,,8796,9392,9,66,0.17,2024-03-21T00:21:00,2024-03-21T08:02:00,Oura
U_XAJI0Y6DPBHS,2024-03-21,,5485,6872,26,69,-0.02,2024-03-21T23:16:00,2024-03-22T05:27:00,Oura
U_XAJI0Y6DPBHS,22-Mar-2024,29512,,5773,57,81,,2024-03-22T20:43:00,2024-03-23T04:52:00,Oura
U_XAJI0Y6DPBHS,2024/03/23 00:00,31992,3381,10293,17,84,0.17,2024-03-23T22:34:00,2024-03-24T06:56:00,Oura
U_XAJI0Y6DPBHS,24-Mar-2024,29923,951,8250,0,57,-0.18,2024-03-24T20:39:00,2024-03-25T04:31:00,Oura
U_XAJI0Y6DPBHS,2024-03-26,29817,8413,6049,30,79,-0.1,2024-03-26T20:34:00,2024-03-27T05:27:00,Oura
U_XAJI0Y6DPBHS,2024/03/27 00:00,26473,3725,5352,25,73,0.15,2024-03-27T23:00:00,2024-03-28T07:13:00,Oura
U_XAJI0Y6DPBHS,28-Mar-2024,27575,4182,4809,19,72,0.04,2024-03-28T22:05:00,2024-03-29T07:46:00,Oura
U_XAJI0Y6DPBHS,29-Mar-2024,26500,6553,7200,24,55,,2024-03-30T00:29:00,2024-03-30T09:25:00,Oura
U_XAJI0Y6DPBHS,2024/03/30 00:00,25803,2384,,31,65,0.13,2024-03-31T00:02:00,2024-03-31T05:38:00,Oura
U_XAJI0Y6DPBHS,2024-03-31,,6128,6448,32,67,,2024-03-31T23:35:00,2024-04-01T06:34:00,Oura
U_XAJI0Y6DPBHS,2024-04-01,25647,,5486,10,69,,2024-04-01T23:10:00,2024-04-02T04:57:00,Oura
U_XAJI0Y6DPBHS,2024/04/02 00:00,32172,5646,8395,10,73,,2024-04-02T22:05:00,2024-04-03T05:09:00,Oura
U_XAJI0Y6DPBHS,2024-04-03,26497,5673,4503,6,66,-0.06,2024-04-03T22:33:00,2024-04-04T08:30:00,Oura
U_XAJI0Y6DPBHS,04-Apr-2024,25911,2444,8123,,,-0.08,2024-04-04T21:28:00,2024-04-05T08:47:00,Oura
U_XAJI0Y6DPBHS,2024-04-05,,9815,4614,41,54,0.39,2024-04-06T00:16:00,2024-04-06T07:06:00,Oura
U_XAJI0Y6DPBHS,2024/04/06 00:00,29364,3813,5771,,74,-0.21,2024-04-06T23:25:00,2024-04-07T04:58:00,Oura
U_XAJI0Y6DPBHS,2024-04-07,31644,6937,7334,42,,0.16,2024-04-07T23:27:00,2024-04-08T07:44:00,Oura
U_XAJI0Y6DPBHS,2024-04-08,,6102,5162,,55,-0.11,2024-04-08T22:02:00,2024-04-09T06:54:00,Oura
U_XAJI0Y6DPBHS,2024-04-09,26328,,9238,33,79,-0.28,2024-04-09T20:16:00,2024-04-10T06:33:00,Oura
U_XAJI0Y6DPBHS,10-Apr-2024,28292,3749,,30,,0.17,2024-04-10T23:02:00,2024-04-11T06:54:00,Oura
U_XAJI0Y6DPBHS,11-Apr-2024,31894,7164,4157,10,70,0.15,2024-04-11T22:49:00,2024-04-12T07:58:00,Oura
U_XAJI0Y6DPBHS,2024/04/12 00:00,31642,8872,6920,,77,-0.07,2024-04-12T20:19:00,2024-04-13T06:58:00,Oura
U_XAJI0Y6DPBHS,2024-04-13,28050,7623,4192,,65,0.08,2024-04-13T21:12:00,2024-04-14T05:52:00,Oura
U_XAJI0Y6DPBHS,2024/04/14 00:00,27918,4226,4176,12,77,0.38,2024-04-14T22:53:00,2024-04-15T06:58:00,Oura
U_XAJI0Y6DPBHS,15-Apr-2024,26977,3897,,25,58,0.2,2024-04-15T20:38:00,2024-04-16T05:48:00,Oura
U_XAJI0Y6DPBHS,2024/04/16 00:00,29144,4641,5409,,83,-0.06,2024-04-16T20:44:00,2024-04-17T08:45:00,Oura
U_XAJI0Y6DPBHS,2024-04-17,29405,4492,2920,,60,,2024-04-17T23:55:00,2024-04-18T06:42:00,Oura
U_XAJI0Y6DPBHS,18-Apr-2024,27366,7010,8027,42,67,-0.12,2024-04-19T00:09:00,2024-04-19T04:50:00,Oura
U_XAJI0Y6DPBHS,19-Apr-2024,31522,9347,7147,24,88,0.16,2024-04-19T22:40:00,2024-04-20T07:41:00,Oura
U_XAJI0Y6DPBHS,2024-04-21,26526,5303,2834,21,57,0.0,2024-04-21T20:29:00,2024-04-22T06:35:00,Oura
